JobTitle,Location,ExperienceRequired,SkillsRequired,Salary,JobURL,JobDescriptionSummary
Graphic Design,Not Specified,Not Specified,Adobe Creative Suite,"₹ 7,000 - 15,000 /month",https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-europ-assistance1774425672,"We are seeking a talented Graphic Design intern to join our dynamic team at Europ Assistance. This internship offers the opportunity to gain hands-on experience and develop your skills in a fast-paced environment. 

Key Responsibilities:
1. Collabora"
Human Resources (HR),Not Specified,Not Specified,MS-Office,"₹ 3,000 /month",https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-advantech-industrial-computing-india-private-limited1774413364,"Selected intern's day-to-day responsibilities include: 

1. TA support
2. HR Documentation
3. Reports Preparation and Updation"
Graphic Design,Not Specified,Not Specified,Adobe Photoshop,"₹ 10,000 - 15,000 /month",https://internshala.com/internship/detail/graphic-design-internship-in-multiple-locations-at-angel-one-limited1774388491,"Selected intern's day-to-day responsibilites include:

1. Create eye-catching creatives for internal campaigns & social media
2. Work on real projects that impact employee experience & brand storytelling
3. Experiment with tools like Canva, Adobe Sui"
Human Resource Business Partner,Not Specified,Not Specified,Effective Communication,"₹ 20,000 /month",https://internshala.com/internship/detail/human-resource-business-partner-internship-in-bangalore-at-leapscholar1774359546,"Selected intern's day-to-day responsibilities include:

1. Collaborate with HR business partners to support various HR projects and initiatives.
2. Assist in employee engagement activities including organizing events and creating communication materi"
Digital Marketing,Not Specified,Not Specified,Content Writing,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-systools-software-private-limited1774357006,"Selected intern's day-to-day responsibilities include: 

Selected intern's day-to-day responsibilities include:

1. Write blogs, website content, and social media posts.
2. Assist in creating basic graphics using tools like Canva.
3. Perform keyword "
Graphic Design,Not Specified,Not Specified,Adobe Photoshop,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/graphic-design-internship-in-noida-at-epic1774342723,"As a Graphic Design intern at our Epic global, you will have the opportunity to work on exciting projects and gain hands-on experience in UI / UX design. You will collaborate with our creative team to create visually stunning graphics that align with"
Marketing,Not Specified,Not Specified,Social Media Marketing,"₹ 4,000 - 7,000 /month",https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-fpt-industrial--cnh-industrial1774239812,"Selected intern's day-to-day responsibilities include:

1. Brand & content execution- Brochures, leaflets, branded materials, product storytelling (photos/videos), and video production support
2. Social media & digital presence- LinkedIn content crea"
Sales Consultant,Not Specified,Not Specified,Sales,"₹ 15,001 /month",https://internshala.com/internship/detail/sales-consultant-internship-in-multiple-locations-at-aditya-birla-fashion-retail-limited-abfrl1774106118,"We are looking for enthusiastic and customer-focused individuals to join us as apprentices at Peter England stores. This 6-month apprenticeship offers hands-on experience in retail sales and store operations, providing a strong foundation for a caree"
Digital Marketing,Not Specified,Not Specified,Digital Marketing,"₹ 2,000 - 5,000 /month",https://internshala.com/internship/detail/digital-marketing-internship-in-coimbatore-at-kg-invicta-services1773904198,"Selected intern's day-to-day responsibilities include: 
1. Research on US Real Estate Market
2. Data Analysis, Data Research
3. Write blogs, articles, and social media posts.
4. Gather information and optimize content with keywords.
5. Ensure clarity"
2D Motion Graphics Artist,Not Specified,Not Specified,Animation,"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/2d-motion-graphics-artist-internship-in-bangalore-at-shashank-kumar1774458087,"We are looking for a talented 2D motion graphics artist intern to join our team. If you have a passion for creating captivating animations and have a strong understanding of Adobe After Effects, motion graphics, and 2D animation, then this is the per"
Business Development (Sales),Not Specified,Not Specified,Social Media Marketing,"₹ 4,500 - 5,500 /month",https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-ozzone-group1774433543,"Selected intern's day-to-day responsibilities include: 

1. You have to do sales of our online International Career Coaching webinar crash course to your own connections by generating your own sales leads 
2. You have to close at least 3 sales on dai"
